recorded_at,period_key,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,merch_pkg_50,merch_pkg_100,merch_pkg_125,merch_pkg_200,merch_pkg_250,merch_pkg_1kg,stock_pkg_50,stock_pkg_100,stock_pkg_125,stock_pkg_200,stock_pkg_250,stock_pkg_1kg,stock_other
2025-12-26,202512,12,office,AF (Al Fakher),Banana,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Banana,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Banana,205,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Banana,175,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),Blueberry,,,,,,,,,,,,,4,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Blueberry,40,,,,,,,,,,,,3,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Blueberry,266,,,,,,,,,,,,2,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Blueberry,202,,,,,,,,,,,,2,,
2025-12-26,202512,12,office,AF (Al Fakher),(パチ) Blueberry,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),(パチ) Blueberry,70,,,,,,,,6,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),(パチ) Blueberry,0,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),(パチ) Blueberry,,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Blueberry Vanilla Ice Cream,0,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Blueberry Vanilla Ice Cream,,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),Cardamom,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Cardamom,216,,,,,,,,20,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Cardamom,163,,,,,,,,17,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Cardamom,136,,,,,,,,16,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),Chocolate,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Chocolate,10,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Chocolate,0,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Chocolate,0,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),Cinnamon,,,,,,,,,,,,,4,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Cinnamon,154,,,,,,,,,,,,2,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Cinnamon,150,,,,,,,,,,,,1,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Cinnamon,86,252,,,,,,,,,,,1,,
2025-12-26,202512,12,office,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Citrus With Mint,,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AF (Al Fakher),Coconut,,,,,,,,,,,,,1,,
2025-12-25,202512,12,baba_main,AF (Al Fakher),Coconut,115,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AF (Al Fakher),Coconut,110,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AF (Al Fakher),Coconut,256,6,,,,,,,,,,,,,
