recorded_at,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,pkg_50,pkg_100,pkg_125,pkg_200,pkg_250,pkg_1kg,val_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-25,12,office,ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,
,,,,名前,"メニュー
内/外","ホース
の色","標準
タッパー数",,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計
,,,AF (Al Fakher),Banana,✕,Normal,,380,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,205,-,-,-,205,,,,,,,,0,,,,,,,0,205,175,-,-,-,175,,,,,,,,0,,,,,,,0
,,,AF (Al Fakher),Blueberry,◯,Normal,1,"3,258",-,-,-,-,0,,,,,4,,,"1,000",,,,,,,0,"1,000",40,-,-,-,40,,,,,3,,,750,,,,,,,0,790,266,-,-,-,266,,,,,2,,,500,,,,,,,0,766,202,-,-,-,202,,,,,2,,,500,,,,,,,0
,,,AF (Al Fakher),(パチ) Blueberry,△,Normal,,370,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,70,-,-,-,70,6,,,,,,,300,,,,,,,0,370,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AF (Al Fakher),Blueberry Vanilla Ice Cream,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AF (Al Fakher),Cardamom,◯,Strong,1,"3,165",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,216,-,-,-,216,20,,,,,,,"1,000",,,,,,,0,"1,216",163,-,-,-,163,17,,,,,,,850,,,,,,,0,"1,013",136,-,-,-,136,16,,,,,,,800,,,,,,,0
,,,AF (Al Fakher),Chocolate,◯,Sweet,1,10,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,10,-,-,-,10,,,,,,,,0,,,,,,,0,10,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AF (Al Fakher),Cinnamon,✕,Sweet,,"2,642",-,-,-,-,0,,,,,4,,,"1,000",,,,,,,0,"1,000",154,-,-,-,154,,,,,2,,,500,,,,,,,0,654,150,-,-,-,150,,,,,1,,,250,,,,,,,0,400,86,252,-,-,338,,,,,1,,,250,,,,,,,0
,,,AF (Al Fakher),Citrus With Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AF (Al Fakher),Coconut,✕,Sweet,,737,-,-,-,-,0,,,,,1,,,250,,,,,,,0,250,115,-,-,-,115,,,,,,,,0,,,,,,,0,115,110,-,-,-,110,,,,,,,,0,,,,,,,0,110,256,6,-,-,262,,,,,,,,0,,,,,,,0
,,,AF (Al Fakher),Grapefruit,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
