ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,(1)入荷: 12/26(金),,,,(2)移動: 12/28(日),,,,(3)移動: 1/4(日),,,,(4)移動: 1/5(月),,,,(5)廃棄: 1/1(木),,,,(6)廃棄: 1/1(木),,,,(7)移動: 1/5(月),,,,(8)移動: 1/5(月),,,,(9)移動: 1/9(金),,,,(10)移動: 1/9(金),,,,(11)移動: 1/18(日),,,,(12)移動: 1/20(火),,,,(13)移動: 1/22(木),,,,(14)移動: 1/23(金),,,,(15)廃棄: 1/25(日),,,,(16),,,,(17),,,,(18),,,,(19),,,,(20),,,,(21),,,,(22),,,,(23),,,,(24),,,,(25),,,,(26),,,,(27),,,,(28),,,,(29),,,,(30),,,,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,,,アプリ表示
,名前,"メニュー
内/外","ホース
の色","標準
タッパー数",,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,,,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,,事務所,本店,中野店,馬場2,,前月消費量総計,移動後の暫定値総計,,
AF (Al Fakher),Banana,✕,Normal,,280,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,145,-,-,-,145,,,,,,,,0,,,,,,,0,145,135,-,-,-,135,,,,,,,,0,,,,,,,0,135,,,0,0,205,175,0,0,8,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,205,175,0,0,145,135,0,0,60,40,0,0,85,95,,2026/01/26,2026/01/30,2026/01/29,2026/01/25,,53,380,,TRUE
AF (Al Fakher),Blueberry,◯,Normal,1,"3,020",-,-,-,-,0,,,,,4,,,"1,000",,,,,,,0,"1,000",267,-,-,-,267,,,,,2,,,500,,,,,,,0,767,89,-,-,-,89,,,,,2,,,500,,,,,,,0,589,164,-,-,-,164,,,,,2,,,500,,,,,,,0,664,,,"1,000",790,766,702,0,24,134,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"1,000",790,766,702,"1,000",767,589,664,0,23,177,38,"1,000",744,412,626,,,,,,,190,"3,258",,TRUE
AF (Al Fakher),(パチ) Blueberry,△,Normal,,345,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,195,-,-,-,195,3,,,,,,,150,,,,,,,0,345,,,0,370,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-370,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-370,0,370,0,0,0,370,0,0,0,345,0,0,0,25,0,0,0,320,,,,,,,0,370,,TRUE
AF (Al Fakher),Blueberry Vanilla Ice Cream,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Cardamom,◯,Strong,1,"2,802",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,112,-,-,-,112,20,,,,,,,"1,000",,,,,,,0,"1,112",15,-,-,-,15,17,,,,,,,850,,,,,,,0,865,175,-,-,-,175,13,,,,,,,650,,,,,,,0,825,,,0,"1,216","1,013",936,0,-8,77,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"1,216","1,013",936,0,"1,112",865,825,0,104,148,111,0,"1,008",717,714,,,,,,,147,"3,165",,TRUE
AF (Al Fakher),Chocolate,◯,Sweet,1,10,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,10,-,-,-,10,,,,,,,,0,,,,,,,0,10,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,0,10,0,0,0,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,10,0,0,,,,,,,18,10,,TRUE
AF (Al Fakher),Cinnamon,✕,Sweet,,"2,308",-,-,-,-,0,,,,,3,,,750,,,,,,,0,750,59,-,-,-,59,,,,,2,,,500,,,,,,,0,559,49,-,-,-,49,,,,,1,,,250,,,,,,,0,299,185,265,-,-,450,,,,,1,,,250,,,,,,,0,700,,,"1,000",654,400,588,0,21,129,151,,,,,,,,,,,,,,,,,,,,,,,,,-250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,0,250,750,654,400,838,750,559,299,700,0,95,101,138,750,464,198,562,,,,,,,301,"2,642",,TRUE
AF (Al Fakher),Citrus With Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Coconut,✕,Sweet,,541,-,-,-,-,0,,,,,0,,,0,,,,,,,0,0,25,-,-,-,25,,,,,1,,,250,,,,,,,0,275,39,-,-,-,39,,,,,,,,0,,,,,,,0,39,227,0,-,-,227,,,,,,,,0,,,,,,,0,227,,,250,115,110,262,0,6,79,22,,,,,,,,,,,,,-250,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,250,0,0,0,365,110,262,0,275,39,227,0,90,71,35,0,185,-32,192,,,,,,,107,737,,TRUE
AF (Al Fakher),Grapefruit,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
