ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,,高田馬場2号店合計,,,(A) 前月棚卸し,,,,(B) 前月消費量,,,,(1)入荷: 2/26(木),,,TRUE,(2)移動: 2/26(木),,,TRUE,(3)移動: 2/28(日),,,TRUE,(4)移動: 2/28(日),,,TRUE,(5) (欠番),,,TRUE,(6)移動: 3/1(日),,,TRUE,(7)移動: 3/1(日),,,TRUE,(8)移動: 3/2(月),,,TRUE,(9)移動: 3/2(月),,,TRUE,(10)移動: 3/2(月),,,TRUE,(11)移動: 3/7(土),,,TRUE,(12)移動: 3/14(土),,,TRUE,(13)移動: 3/14(土),,,TRUE,2026-03-16,,,TRUE,2026-03-16,,,TRUE,02/26,,通関ミスの為、そもそもー500g入荷してた。,TRUE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,(C) 移動・入荷合計,,,,(D) 移動後の暫定値 (A + C),,,,(E) 今月棚卸し,,,,(F) 今月消費量,,,,(G) 来月予測値 (E - F),,,,,棚卸し完了日,,,,,在庫量確認用,,,アプリ表示
,名前,"メニュー
内/外","ホース
の色","標準
タッパー数",,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,,,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,事務所,本店,中野店,馬場２,,事務所,本店,中野店,馬場2,,前月消費量総計,移動後の暫定値総計,,
AF (Al Fakher),Banana,✕,Normal,,173,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,0,0,64,,,,64,,,,,,,,0,,,,,,,0,64,109,,,,109,,,,,,,,0,,,,,,,0,109,,,0,0,93,115,0,0,52,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,93,115,0,0,64,109,0,0,29,6,0,0,35,103,,2026/03/24,2026/03/23,2026/03/26,2026/03/23,,72,208,,TRUE
AF (Al Fakher),Blueberry,◯,Normal,1,"2,582",-,-,-,-,0,,,,,4,,,"1,000",,,,,,,0,"1,000",174,,,,174,,,,,2,,,500,,,,,,,0,674,68,,,,68,,,,,1,,,250,,,,,,,0,318,90,,,,90,,,,,2,,,500,,,,,,,0,590,,,"1,000",720,471,634,0,47,118,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"1,000",720,471,634,"1,000",674,318,590,0,46,153,44,"1,000",628,165,546,,,,,,,195,"2,825",,TRUE
AF (Al Fakher),(パチ) Blueberry,△,Normal,,311,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,261,,,,261,1,,,,,,,50,,,,,,,0,311,,,0,0,0,337,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,337,0,0,0,311,0,0,0,26,0,0,0,285,,,,,,,8,337,,TRUE
AF (Al Fakher),Blueberry Vanilla Ice Cream,✕,Sweet,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Cardamom,◯,Strong,1,"2,237",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,176,,,,176,12,,,,,,,600,,,,,,,0,776,53,,,,53,12,,,,,,,600,,,,,,,0,653,208,,,,208,12,,,,,,,600,,,,,,,0,808,,,0,"1,064",778,695,0,48,87,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-250,0,250,0,814,778,945,0,776,653,808,0,38,125,137,0,738,528,671,,,,,,,265,"2,537",,TRUE
AF (Al Fakher),Chocolate,◯,Sweet,1,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,10,0,,TRUE
AF (Al Fakher),Cinnamon,✕,Sweet,,"1,668",-,-,-,-,0,,,,,1,,,250,,,,,,,0,250,225,,,,225,,,,,1,,,250,,,,,,,0,475,76,,,,76,,,,,1,,,250,,,,,,,0,326,107,260,,,367,,,,,1,,,250,,,,,,,0,617,,,500,502,452,539,0,57,97,161,,,,,,,,,,,,,,,,,,,,,-250,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,0,250,250,502,452,789,250,475,326,617,0,27,126,172,250,448,200,445,,,,,,,315,"1,993",,TRUE
AF (Al Fakher),Citrus With Mint,✕,Normal,,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,FALSE
AF (Al Fakher),Coconut,✕,Sweet,,810,-,-,-,-,0,,,,,1,,,250,,,,,,,0,250,222,,,,222,,,,,,,,0,,,,,,,0,222,168,,,,168,,,,,,,,0,,,,,,,0,168,170,,,,170,,,,,,,,0,,,,,,,0,170,,,0,252,0,191,0,23,39,36,500,,,,,,,,-250,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,0,250,0,250,252,250,191,250,222,168,170,0,30,82,21,250,192,86,149,,,,,,,98,943,,TRUE
